DATE,TIME,PRICE,SIZE
20181213,09250010,10.76,600
20181213,09250010,10.76,100
20181213,09250010,10.76,500
20181213,09250010,10.76,300
20181213,09250010,10.76,100
20181213,09250010,10.76,300
20181213,09250010,10.76,100
20181213,09250010,10.76,100
20181213,09250010,10.76,100
20181213,09250010,10.76,100
20181213,09250010,10.76,2100
20181213,09250010,10.76,100
20181213,09250010,10.76,100
20181213,09250010,10.76,2000
20181213,09250010,10.76,300
20181213,09250010,10.76,600
20181213,09250010,10.76,200
20181213,09250010,10.76,800
20181213,09250010,10.76,1000
20181213,09250010,10.76,1000
20181213,09250010,10.76,1000
20181213,09250010,10.76,1000
20181213,09250010,10.76,1000
20181213,09250010,10.76,1000
20181213,09250010,10.76,300
20181213,09250010,10.76,2000
20181213,09250010,10.76,500
20181213,09250010,10.76,8900
20181213,09300020,10.76,100
20181213,09300020,10.76,1000
20181213,09300020,10.76,2100
20181213,09300020,10.76,7900
20181213,09300020,10.76,600
20181213,09300040,10.77,100
20181213,09300040,10.77,300
20181213,09300040,10.77,300
20181213,09300040,10.77,300
20181213,09300040,10.77,1200
20181213,09300050,10.77,300
20181213,09300080,10.77,300
20181213,09300080,10.77,10300
20181213,09300080,10.77,500
20181213,09300100,10.76,200
20181213,09300110,10.76,300
20181213,09300120,10.76,40
20181213,09300120,10.77,4100
20181213,09300130,10.77,1100
20181213,09300170,10.77,1200
20181213,09300200,10.77,700
20181213,09300200,10.76,500
20181213,09300200,10.77,4200
20181213,09300200,10.77,900
20181213,09300230,10.77,1300
20181213,09300240,10.77,300
20181213,09300240,10.77,800
20181213,09300240,10.77,1900
20181213,09300250,10.77,4800
20181213,09300250,10.77,1200
20181213,09300260,10.77,2900
20181213,09300260,10.77,2600
20181213,09300260,10.77,2900
20181213,09300260,10.77,2200
20181213,09300260,10.77,1900
20181213,09300270,10.77,2000
20181213,09300270,10.77,300
20181213,09300270,10.77,200
20181213,09300290,10.77,1400
20181213,09300390,10.77,100
20181213,09300450,10.78,500
20181213,09300450,10.78,700
20181213,09300450,10.78,1500
20181213,09300680,10.77,500
20181213,09300710,10.78,500
20181213,09300710,10.78,600
20181213,09300760,10.78,1100
20181213,09300780,10.77,1000
20181213,09300800,10.78,6300
20181213,09300800,10.78,2000
20181213,09300800,10.78,500
20181213,09300800,10.78,300
20181213,09301100,10.78,200
20181213,09301220,10.78,300
20181213,09301230,10.78,200
20181213,09301240,10.78,500
20181213,09301320,10.78,1300
20181213,09301470,10.79,300
20181213,09301550,10.78,600
20181213,09301710,10.79,200
20181213,09301720,10.79,1600
20181213,09302040,10.79,3900
20181213,09302040,10.79,3000
20181213,09302040,10.79,700
20181213,09302040,10.79,900
20181213,09302040,10.79,20000
20181213,09302040,10.79,500
20181213,09302040,10.79,1000
20181213,09302040,10.79,1000
20181213,09302040,10.79,5800
20181213,09302040,10.79,15100
20181213,09302070,10.79,300
20181213,09302080,10.79,3700
20181213,09302090,10.78,100
20181213,09302220,10.79,100
20181213,09302320,10.78,100
20181213,09302320,10.78,100
20181213,09302980,10.78,1500
20181213,09302980,10.78,700
20181213,09302980,10.78,100
20181213,09302980,10.78,2100
20181213,09302980,10.78,100
20181213,09302980,10.78,100
20181213,09302980,10.78,1700
